牛前腿,34.00,34.00,34.00,牛肉类,斤,2021-06-30
牛后腿,34.00,34.00,34.00,牛肉类,斤,2021-06-30
牛柳（里脊）,37.00,37.00,37.00,牛肉类,斤,2021-06-30
精牛柳,40.00,41.00,42.00,牛肉类,斤,2021-06-30
牛腩,34.00,34.50,35.00,牛肉类,斤,2021-06-30
牛林,34.00,34.50,35.00,牛肉类,斤,2021-06-30
牛骨,4.50,4.75,5.00,牛肉类,斤,2021-06-30
牛板筋,34.00,34.50,35.00,牛肉类,斤,2021-06-30
鲤鱼,10.50,10.50,10.50,750g-1000g,斤,2021-06-30
鲤鱼,10.50,10.50,10.50,>1000g,斤,2021-06-30
草鱼,11.50,11.50,11.50,750g-1000g,斤,2021-06-30
草鱼,11.50,11.50,11.50,>1000g,斤,2021-06-30
鲫鱼,12.00,12.50,13.00,200g-250g,斤,2021-06-30
鲫鱼,17.00,17.00,17.00,350g-400g,斤,2021-06-30
胖头鱼,12.00,12.00,12.00,>2000g,斤,2021-06-30
武昌鱼,12.00,12.00,12.00,700g左右,斤,2021-06-30
青萝卜,0.70,0.80,0.90,冀鲁新,斤,2021-06-29
胡萝卜,0.60,0.70,0.80,冀鲁新,斤,2021-06-29
胡萝卜（洗）,0.80,0.90,1.00,冀鲁,斤,2021-06-29
土豆,0.60,0.80,1.00,鲁,斤,2021-06-29
黄葱头,0.80,0.85,0.90,蒙甘,斤,2021-06-29
红葱头,1.00,1.10,1.20,老新,斤,2021-06-29
山药,2.10,2.30,2.50,脆麻新,斤,2021-06-29
铁棍山药,4.00,5.00,6.00,普通,斤,2021-06-29
莲藕,6.00,6.50,7.00,冀云川桂,斤,2021-06-29
红薯,0.80,1.10,1.40,冀新,斤,2021-06-29
红薯,1.50,2.00,2.50,精品,斤,2021-06-29
茭白,2.40,2.60,2.80,京浙,斤,2021-06-29
凉薯,2.00,2.15,2.30,普通,斤,2021-06-29
荸荠,4.80,4.90,5.00,皖,斤,2021-06-29
芋头,1.50,1.75,2.00,鲁,斤,2021-06-29
姜,3.00,4.25,5.50,姜头整,斤,2021-06-29
大蒜,2.80,3.15,3.50,普通,斤,2021-06-29
新蒜,2.50,2.75,3.00,泥,斤,2021-06-29
蒜米,3.20,3.50,3.80,普通,斤,2021-06-29
大葱,0.80,0.95,1.10,冀鲁,斤,2021-06-29
鲢鱼,5.50,5.50,5.50,>1500g,斤,2021-06-30
鲢鱼,4.00,4.00,4.00,1000-1500g,斤,2021-06-30
鲶鱼,4.00,4.00,4.00,养殖,斤,2021-06-30
黑鱼,12.00,12.00,12.00,活,斤,2021-06-30
罗非鱼,11.00,11.50,12.00,活,斤,2021-06-30
虹鳟鱼,20.00,20.00,20.00,活,斤,2021-06-30
鲟鱼,14.00,14.00,14.00,活,斤,2021-06-30
桂鱼,65.00,67.00,69.00,标桂,斤,2021-06-30
嘎鱼,20.00,20.00,20.00,>100g,斤,2021-06-30
嘎鱼,19.00,19.00,19.00,<100g,斤,2021-06-30
淡水鲈鱼,25.00,25.00,25.00,活,斤,2021-06-30
多宝鱼,25.00,25.00,25.00,活,斤,2021-06-30
清江鱼,12.00,12.00,12.00,活,斤,2021-06-30
白虾,33.00,34.50,36.00,活,斤,2021-06-30
小龙虾,20.00,21.00,22.00,活,斤,2021-06-30
大白菜,0.30,0.40,0.50,储存新,斤,2021-06-29
娃娃菜,0.80,1.00,1.20,大冀新,斤,2021-06-29
小白菜,1.00,1.25,1.50,普通,斤,2021-06-29
芹菜,1.00,1.10,1.20,冀,斤,2021-06-29
西芹,2.00,2.25,2.50,普通,斤,2021-06-29
鸡排腿,7.50,7.50,7.50,禽肉类,斤,2021-06-29
鸡琵琶腿,7.50,7.75,8.00,禽肉类,斤,2021-06-29
鸡胗,12.00,12.00,12.00,禽肉类,斤,2021-06-29
鸡爪,15.00,15.00,15.00,禽肉类,斤,2021-06-29
鸡心,8.00,8.25,8.50,禽肉类,斤,2021-06-29
鸡头,2.00,2.25,2.50,禽肉类,斤,2021-06-29
鸡架子,2.00,2.25,2.50,禽肉类,斤,2021-06-29
鸡翅根,8.00,8.00,8.00,禽肉类,斤,2021-06-29
白条乌鸡（净膛）,13.00,13.00,13.00,禽肉类,斤,2021-06-29
黑爪公鸡（净膛）,15.00,15.00,15.00,禽肉类,斤,2021-06-29
箱鸡蛋,180.00,182.50,185.00,蛋类,斤,2021-06-29
箱鸡蛋,4.09,4.14,4.20,蛋类,斤,2021-06-29
散鸡蛋,4.30,4.30,4.30,蛋类,斤,2021-06-29
生鸭蛋,5.80,6.15,6.50,蛋类,斤,2021-06-29
熟鸭蛋,6.50,7.00,7.50,蛋类,斤,2021-06-29
松花蛋,6.50,7.25,8.00,蛋类,斤,2021-06-29
鹅蛋,12.00,12.50,13.00,蛋类,斤,2021-06-29
鹌鹑蛋,4.80,5.65,6.50,蛋类,斤,2021-06-29
柴鸡蛋,4.50,7.25,10.00,蛋类,斤,2021-06-29
乌鸡蛋,7.80,8.15,8.50,蛋类,斤,2021-06-29
沃柑,4.50,5.00,5.50,柑橘类,斤,2021-06-28
夏橙,2.00,2.50,3.00,柑橘类,斤,2021-06-28
伦晚,1.80,2.40,3.00,柑橘类,斤,2021-06-28
油桃,1.50,3.00,4.50,桃李杏类,斤,2021-06-28
蟠桃,3.50,4.50,5.50,桃李杏类,斤,2021-06-28
水蜜桃,8.00,8.50,9.00,桃李杏类,斤,2021-06-28
黄油桃,4.00,4.50,5.00,桃李杏类,斤,2021-06-28
黄毛桃,2.50,3.25,4.00,桃李杏类,斤,2021-06-28
突围,1.20,1.60,2.00,桃李杏类,斤,2021-06-28
京红桃,1.00,2.00,3.00,桃李杏类,斤,2021-06-28
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-06-28
胭脂杏,3.00,3.50,4.00,桃李杏类,斤,2021-06-28
李子,1.00,3.00,5.00,桃李杏类,斤,2021-06-28
杏梅,2.00,3.00,4.00,桃李杏类,斤,2021-06-28
金太阳,0.80,1.20,1.60,桃李杏类,斤,2021-06-28
无籽小号-大号,1.30,1.45,1.60,西瓜类,斤,2021-06-28
麒麟、甜蜜蜜,1.80,2.10,2.40,西瓜类,斤,2021-06-28
特小风,2.00,2.15,2.30,西瓜类,斤,2021-06-28
